studies,country,Dignostic_method,Tryp_type,Year,study ID
"The isolation of Leishmania tropica and L. aethiopica from Phlebotomus (Paraphlebotomus) species (Diptera : Psychodidae) in the Awash Valley, northeastern Ethiopia", Ethiopia , NA ," L. tropica', 'L. aethiopica', 'Leishmania tropica', 'Leishmania ",2019,"(Ghaemi et al., 2019)"
Evaluation of Trypanosama evansi prevalence and risk factors in the one-humped camels (Camelus dromedarius) of the north-east of Iran by a real-time PCR test, Iran , PCR ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2014,"(Ghawar et al., 2014)"
Genotype Profile of Leishmania major Strains Isolated from Tunisian Rodent Reservoir Hosts Revealed by Multilocus Microsatellite Typing, Tunisia , NA ," L. major', 'Leishmania major', 'Leishmania ",2011,"(Ghawar et al., 2011)"
Leishmania Major Infection Among Psammomys Obesus and Meriones Shawi: Reservoirs of Zoonotic Cutaneous Leishmaniasis in Sidi Bouzid (Central Tunisia), Tunisia , smears ," L. major', 'Leishmania major', 'Leishmania ",2017,"(Giannakopoulos et al., 2017)"
"Molecular investigation and geographical distribution of Leishmania spp infection in stray and owned cats (Felis catus) in Thessaly, central Greece", Greece ," nested PCR', 'PCR', 'ITS1 "," Leishmania infantum', 'Leishmania spp ', 'Leishmania ",2009,"(Gicheru et al., 2009)"
Prevalence of antibodies and cell mediated immune response against Leishmania major in feral nonhuman primates from Kenya, Kenya , ELISA ," L. major', 'Leishmania major', 'Leishmania ",2010,"(Gillespie, 2010)"
Factors affecting parasite prevalence among wild bumblebees, NA , NA ," C. bombi ', 'Crithidia bombi ",2010,"(Gillingwater et al., 2010)"
"Prevalence of mixed Trypanosoma congolense infections in livestock and tsetse in KwaZulu-Natal, South Africa", South Africa ," nested PCR', 'polymerase chain reaction', 'PCR "," Trypanosoma congolense', 'Trypanosoma ",2011,"(Giorgobiani et al., 2011)"
"Epidemiologic Aspects of an Emerging Focus of Visceral Leishmaniasis in Tbilisi, Georgia", Georgia ," direct agglutination test', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2019,"(Gizzarelli et al., 2019)"
"Simultaneous Detection of Parasitic Vector Borne Diseases: A Robust Cross-Sectional Survey in Hunting, Stray and Sheep Dogs in a Mediterranean Area", Italy , NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2002,"(Godoi et al., 2002)"
A PCR-based survey on Phytomonas (Euglenozoa : Trypanosomatidae) in phytophagous hemipterans of the Amazon region, Brazil ," microscopy', 'PCR ",Trypanosoma,2008,"(Gomez-Hern and ez et al., 2008)"
"Prevalence of triatomines (Hemiptera : Reduviidae : Triatominae) infected by Trypanosoma cruzi: seasonality and distribution in the Cienega region of the State of Jalisco, Mexico", Mexico , NA ,Trypanosoma,2009,"(Goncalves et al., 2009)"
"Surveillance of Chagas disease vectors in municipalities of the state of Ceara, Brazil", Brazil , NA ," T. cruzi', 'Trypanosoma ",2002,"(Gontijo et al., 2002)"
"Epidemiological studies of an outbreak of cutaneous leishmaniasis in the Rio Jequitinhonha Valley, Minas Gerais, Brazil"," Brazil', 'Montenegro ", PCR ,Leishmania,2007,"(Gonzales et al., 2007)"
Bovine trypanosomosis in the Bolivian pantanal, Bolivia , PCR ," T. evansi', 'T. vivax', 'Trypanosoma vivax', 'bovine trypanosomosis', 'Trypanosomosis', 'bovine', 'Trypanosoma ",2006,"(Goossens et al., 2006)"
Trypanosomosis prevalence in cattle on Mafia Island (Tanzania), Tanzania ," ELISA', 'microscopic', 'PCR "," Trypanosoma congolense', 'Trypanosomosis', 'Trypanosoma ",2016,"(Gorchakov et al., 2016)"
"Trypanosoma cruzi Infection Prevalence and Bloodmeal Analysis in Triatomine Vectors of Chagas Disease From Rural Peridomestic Locations in Texas, 2013-2014", NA , polymerase chain reaction ," T. cruzi', 'Trypanosoma ",2009,"(Gotsch et al., 2009)"
"Ticks and haemoparasites of dogs from Praia, Cape Verde", NA ," polymerase chain reaction', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2018,"(Goulson et al., 2018)"
The impacts of predators and parasites on wild bumblebee colonies, NA , microscopic ," C. bombi ', 'Crithidia bombi ",2012,"(Goulson et al., 2012)"
Influence of urbanisation on the prevalence of protozoan parasites of bumblebees, NA , NA ,Crithidia bombi,2014,"(Graystock et al., 2014)"
The relationship between managed bees and the prevalence of parasites in bumblebees, NA , NA ," C. bombi ', 'Crithidia bombi ",2003,"(Grijalva et al., 2003)"
Seroprevalence and risk factors for Trypanosoma cruzi infection in the amazon region of Ecuador, Ecuador , NA ," T. cruzi', 'Trypanosoma ",2015,"(Grijalva et al., 2015)"
Comprehensive Survey of Domiciliary Triatomine Species Capable of Transmitting Chagas Disease in Southern Ecuador, Ecuador , NA ," T. cruzi', 'Trypanosoma ",2000,"(Grisard et al., 2000)"
"Trypanosoma cruzi infection in Didelphis marsupialis in Santa Catarina and Arvoredo Islands, southern Brazil", Brazil , NA ," T, cruzi', 'T. cruzi', 'Trypanosoma ",2014,"(Grybchuk-Ieremenko et al., 2014)"
High prevalence of trypanosome co-infections in freshwater fishes, Ukraine , cultures ,NA,1992,"(Guedegbe et al., 1992)"
SEROLOGICAL EVIDENCE OF THE EXISTENCE OF WILD ANIMAL RESERVOIRS OF TRYPANOSOMA-BRUCEI GAMBIENSE IN THE NATIONAL-PARK-OF-PENDJARI IN THE REPUBLIC OF BENIN, Benin , smears ," T. brucei', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'Trypanosoma ",2014,"(Guerbouj et al., 2014)"
Evaluation of a gp63-PCR Based Assay as a Molecular Diagnosis Tool in Canine Leishmaniasis in Tunisia," Australia', 'Tunisia "," PCR-RFLP', 'IFAT', 'PCR-RFLP ', 'IFA', 'PCR "," L. infantum', 'Leishmania ",2013,"(Guerra et al., 2013)"
Detection of IgG antibodies against Trypanosoma vivax in cattle by indirect immunofluorescence test, Brazil , NA ," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2005,"(Guimaraes et al., 2005)"
"Canine visceral leishmaniasis in Sao Jose de Ribamar, Maranhao State, Brazil", Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA ",Leishmania,2019,"(Gunasekara et al., 2019)"
Epidemiological survey of hemoprotozoan parasites in cattle from low-country wet zone in Sri Lanka, Sri Lanka , PCR ,Trypanosoma,1996,"(Gurtler et al., 1996)"
Probability of infection with Trypanosoma cruzi of the vector Triatoma infestans fed on infected humans and dogs in northwest Argentina, Argentina , xenodiagnosis ," T. cruzi', 'Trypanosoma ",2007,"(Gürtler et al., 2007)"
Domestic dogs and cats as sources of Trypanosoma cruzi infection in rural northwestern Argentina, Argentina , NA ,Trypanosoma,2000,"(Gutierrez et al., 2000)"
Camel trypanosomosis in the Canary islands: assessment of seroprevalence and infection rates using the card agglutination test (CATT/T-evansi) and parasite detection tests, Spain ," microscopic', 'smears', 'card agglutination test ', 'CATT', 'CATT/T-evansi', 'Giemsa stained "," T. evansi', 'Trypanosoma evansi', 'Trypanosomosis', 'Trypanosoma ",2012,"(Haas et al., 2012)"
Occurrence of blood parasites and intensity of infection in Prunella modularis in the montane and subalpine zone in the Slovak Carpathians, Slovakia ," microscopic', 'PCR ",Trypanosoma,2010,"(Haenen et al., 2010)"
"The health status of European silver eels, Anguilla anguilla, in the Dutch River Rhine Watershed and Lake IJsselmeer", Netherlands ," smears', 'PCR ",Trypanosoma,2010,"(Hagos et al., 2010)"
Serological and parasitological survey of dourine in the Arsi-Bale highlands of Ethiopia, Ethiopia ," enzyme-linked immunosorbent assay', 'card agglutination test  ",NA,2010,"(Hagos et al., 2010)"
"Seroepidemiological survey of trypanozoon infection in horses in the suspected dourine-infected Bale highlands of the Oromia region, Ethiopia", Ethiopia ," CATT', 'CATT/T.evansi ",NA,2014,"(Haji et al., 2014)"
"Occurrence of haemoparasites in cattle in Monduli district, northern Tanzania", Tanzania , NA ," Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2015,"(Haji et al., 2015)"
"Determination of the prevalence of trypanosome species in cattle from Monduli district, northern Tanzania, by loop mediated isothermal amplification", Tanzania ," blood film', 'LAMP', 'microscopy', 'Giemsa-stained "," T. brucei', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2007,"(Hall et al., 2007)"
"Trypanosoma cruzi prevalence and epidemiologic trends in lemurs on St. Catherines Island, Georgia", Georgia , NA ," T. cruzi', 'Trypanosoma ",2015,"(Hamad et al., 2015)"
Wild Gorillas as a Potential Reservoir of Leishmania major, Cameroon , polymerase chain reaction ," L. major', 'Leishmania major', 'Leishmania ",2012,"(Hamarsheh et al., 2012)"
"Serological and molecular survey of Leishmania parasites in apparently healthy dogs in the West Bank, Palestine", Palestine ," buffy coat ', 'ELISA', 'PCR', 'ITS1 "," Leishmania infantum', 'Leishmania ",2011,"(Hamel et al., 2011)"
Canine vector-borne disease in travelled dogs in Germany-A retrospective evaluation of laboratory data from the years 2004-2008, Germany ," smears', 'PCR', 'Giemsa-stained "," Leishmania spp.', 'Leishmania ",2016,"(Hamel et al., 2016)"
Parasites and vector-borne pathogens in client-owned dogs in Albania. Blood pathogens and seroprevalences of parasitic and other infectious agents, Albania ," smears', 'PCR', 'Giemsa-stained "," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Hamill et al., 2017)"
"Evaluating the impact of targeting livestock for the prevention of human and animal trypanosomiasis, at village level, in districts newly affected with T-b. rhodesiense in Uganda", Uganda , PCR ," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2013,"(Hamill et al., 2013)"
Domestic pigs as potential reservoirs of human and animal trypanosomiasis in Northern Tanzania, Tanzania , PCR ," T. brucei', 'T. congolense', 'T. godfreyi', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma godfreyi', 'Trypanosoma brucei', 'T. simiae', 'Trypanosoma simiae', 'Trypanosoma ",2005,"(Hancock et al., 2005)"
Prevalence of antibodies to Trypanosoma cruzi in raccoons (Procyon lotor) from an urban area of northern Virginia, Brazil ," indirect fluorescent antibody test', 'IFAT', 'IFA "," T. cruzi', 'Trypanosoma ",2016,"(Hanel et al., 2016)"
Blood parasites in northern goshawk (Accipiter gentilis) with an emphasis to Leucocytozoon toddi, NA ," microscopic', 'nested PCR', 'smears', 'PCR ",Trypanosoma,2009,"(Hassan et al., 2009)"
Role of the domestic dog as a reservoir host of Leishmania donovani in eastern Sudan," Egypt', 'Sudan "," DAT', 'smears', 'microscopy', 'PCR ",Leishmania,2016,"(Hern and ez et al., 2016)"
"Untangling the transmission dynamics of primary and secondary vectors of Trypanosoma cruzi in Colombia: parasite infection, feeding sources and discrete typing units", Colombia ," discrete typing units', 'DTUs "," T. cruzi', 'Trypanosoma ",2015,"(Herrera et al., 2015)"
"Genotype diversity of Trypanosoma cruzi in small rodents and Triatoma sanguisuga from a rural area in New Orleans, Louisiana", Georgia ," discrete typing units', 'DTUs', 'cultures', 'PCR "," T. cruzi', 'Trypanosoma ",2017,"(Herrera & Castro, 2017)"
"Trypanosoma evansi (Kinetoplastida: Trypanosomatidae) in capybaras (Hydrochoerus hydrochaeris): prevalence, effect and sexual selection", Venezuela , NA ," Trypanosoma evansi', 'Trypanosoma ",2005,"(Herrera et al., 2005)"
"Trypanosoma cruzi infection in wild mammals of the National Park 'Serra da Capivara' and its surroundings (Piaui, Brazil), an area endemic for Chagas disease", Brazil , NA ,Trypanosoma,2009,"(Herrera et al., 2009)"
"FREQUENCY OF HEMOPARASITES OF BOVINES FROM CAUCA AND SAN JORGE RIVERS, 2000-2005", Colombia , microscopy ," bovine', 'Trypanosoma ",2010,"(Heusser et al., 2010)"
Canine tegumentar leishmaniasis in the town of Balneario Camboriu in the State of Santa Catarina, NA ," ELISA', 'immunoenzymatic assay ",Leishmania,2008,"(Hirsch & Pantchev, 2008)"
"Occurence of the travel diseases leishmaniasis, ehrlichiosis, babesiosis and dirofiloriosis in dogs living in Germany", Germany ," ELISA', 'IFAT', 'IFA', 'PCR "," Leishmania spp.', 'Leishmania ",2016,"(Hodo et al., 2016)"
"Trypanosome species, including Trypanosoma cruzi, in sylvatic and peridomestic bats of Texas, USA", NA , PCR ," T. cruzi', 'Trypanosoma ",2019,"(Hodo et al., 2019)"
"Repeated cross-sectional study of Trypanosoma cruzi in shelter dogs in Texas, in the context of Dirofilaria immitis and tick-borne pathogen prevalence", NA ," qPCR', 'polymerase chain reaction', 'PCR "," T. cruzi', 'Trypanosoma ",2018,"(Hodzic et al., 2018)"
"Occurrence and diversity of arthropod-transmitted pathogens in red foxes (Vulpes vulpes) in western Austria, and possible vertical (transplacental) transmission of Hepatozoon canis", Austria , PCR ,NA,2019,"(Hofmann et al., 2019)"
"Vector-borne pathogens affecting shelter dogs in eastern Crete, Greece", Greece , PCR ," Leishmania infantum', 'Leishmania ",2004,"(Holl and  et al., 2004)"
Prevalence of Trypanosoma evansi in water buffaloes in remote areas in Northern Vietnam using PCR and serological methods, Vietnam , PCR ," Trypanosoma evansi', 'Trypanosoma ",2003,"(Holmstad et al., 2003)"
Standard sampling techniques underestimate prevalence of Avian Hematozoa in willow ptarmigan (Lagopus lagopus), Norway , smears ,Trypanosoma,1998,"(Hopkins et al., 1998)"
Adaptation and validation of antibody-ELISA using dried blood spots on filter paper for epidemiological surveys of tsetse-transmitted trypanosomosis in cattle, Zambia ," enzyme-linked immunosorbent assay', 'ELISA', 'smears', 'Giemsa-stained "," T. vivax', 'Trypanosoma brucei', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2019,"(Hopkins et al., 2019)"
Chagas disease in the Bolivian Chaco: Persistent transmission indicated by childhood seroscreening study, Bolivia , NA ,NA,2012,"(Hosseininejad et al., 2012)"
Seroprevalence of canine visceral leishmaniasis in asymptomatic dogs in Iran, Iran ," direct agglutination test', 'DAT "," Leishmania infantum', 'L. infantum', 'Leishmania ",2010,"(Houk et al., 2010)"
"PREVALENCE OF ANTIBODIES TO TRYPANOSOMA CRUZI, TOXOPLASMA GONDII, ENCEPHALITOZOON CUNICULI, SARCOCYSTIS NEURONA, BESNOITIA DARLINGI, AND NEOSPORA CANINUM IN NORTH AMERICAN OPOSSUMS, DIDELPHIS VIRGINIANA, FROM SOUTHERN LOUISIANA", NA ," direct agglutination test', 'IFAT', 'MAT', 'IFA ",Trypanosoma,2003,"(Hubalek et al., 2003)"
Prevalence of borreliae in ixodid ticks from a floodplain forest ecosystem, Austria ," PCR-RFLP', 'PCR-RFLP ', 'microscopy', 'PCR ",Trypanosoma,2016,"(Hussain et al., 2016)"
A report on the molecular detection and seasonal prevalence of Trypanosoma brucei in Dromedary Camels from Dera Ghazi Khan District in Southern Punjab (Pakistan), Pakistan ," microscopic', 'PCR "," T. brucei', 'Trypanosoma brucei', 'Trypanosoma ",2016,"(Hussain et al., 2016)"
"Molecular Detection and Seasonal Prevalence of Trypanosoma brucei and its Effect on Hematobiochemical Parameters in Donkeys from Dera Ghazi Khan District in Southern Punjab, Pakistan", Pakistan ," microscopic', 'smears', 'PCR "," T. brucei', 'Trypanosoma brucei', 'Trypanosoma ",2018,"(Hussain et al., 2018)"
Clinico-hematological and oxidative stress status in Nili Ravi buffaloes infected with Trypanosoma evansi, Pakistan ," microscopic', 'blood film', 'PCR "," Trypanosoma evansi', 'Trypanosoma ",2016,"(Isaac et al., 2016)"
Molecular identification of different trypanosome species and subspecies in tsetse flies of northern Nigeria," Niger', 'Nigeria "," PCR', 'ITS1 "," T. brucei', 'T. congolense', 'T. godfreyi', 'T. vivax', 'Trypanosoma congolense', 'T. simiae', 'Trypanosoma ",Na,"(Jabal-Uriel et al., Na)"
First data on the prevalence and distribution of pathogens in bumblebees (Bombus terrestris and bombus pascuorum) from Spain, Spain , NA ,Crithidia bombi,2013,"(Jafari et al., 2013)"
"Molecular characterization of sandflies and Leishmania detection in main vector of zoonotic cutaneous leishmaniasis in Abarkouh district of Yazd province, Iran", Iran , PCR ," L. major', 'Leishmania major', 'Leishmania ",2017,"(Jaimes-Duenez et al., 2017)"
Parasitological and molecular surveys reveal high rates of infection with vector-borne pathogens and clinical anemia signs associated with infection in cattle from two important livestock areas in Colombia, Colombia , NA ," T. evansi', 'Trypanosoma ",2018,"(Jaimes-Duenez et al., 2017)"
Spatial-temporal and phylogeographic characterization of Trypanosoma spp. in cattle (Bos taurus) and buffaloes (Bubalus bubalis) reveals transmission dynamics of these parasites in Colombia, Colombia , NA ," T. evansi', 'T. vivax', 'Trypanosoma ",2001,"(Jakes et al., 2001)"
Hemoprotozoa of freshwater turtles in Queensland, Australia , smears ,Trypanosoma,2018,"(Jansen et al., 2018)"
Trypanosoma cruzi transmission in the wild and its most important reservoir hosts in Brazil, Brazil , cultures ," T. cruzi', 'Trypanosoma ",2016,"(Jiang et al., 2016)"
"Seroepidemiological study of canine Leishmania infantum and Toxoplasma gondii infections in Shanghai, China, and analysis of risk factors", China , ELISA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Jimenez-Coello et al., 2015)"
